##,Player,GS,MIN,REB,PF,A,TO,BLK,STL,PTS,ORB,DRB,FG_pct,3PT_pct,FT_pct,Team,Date,Won
15,"15 Fuerbacher, Justin",1,20,1,2,2,1,1,1,2,0,1,0.5,NA,0,Williams,2026-01-24,0
01,"01 Cwalina, Kuba",0,25,1,1,2,1,1,0,16,0,1,0.5,0.625,0.5,Williams,2026-01-24,0
20,"20 Ducree, Dominick",0,21,1,0,0,2,0,0,12,0,1,0.42857142857142855,0.3333333333333333,0.8333333333333334,Williams,2026-01-24,0
04,"04 Ramey, Sawyer",0,19,1,2,1,0,0,4,5,0,1,0.6666666666666666,0.5,NA,Williams,2026-01-24,0
23,"23 Lee, Donovan",0,8,0,2,1,1,0,1,2,0,0,0.5,NA,NA,Williams,2026-01-24,0
31,"31 Morrison, Henry",0,4,0,0,0,0,0,0,2,0,0,1,NA,NA,Williams,2026-01-24,0
13,"13 Newell, Mark",0,10,2,4,1,0,0,1,0,0,2,NA,NA,0,Williams,2026-01-24,0
TM,TM TEAM,0,0,6,0,0,0,0,0,0,4,2,NA,NA,NA,Williams,2026-01-24,0
,Totals,NA,200,31,18,12,11,2,11,76,8,23,0.4642857142857143,0.4444444444444444,0.5714285714285714,Williams,2026-01-24,0
00,"00 Cooper,Jordan",1,35,10,1,0,1,0,0,38,3,7,0.56,0.3333333333333333,0.8181818181818182,Middlebury,2026-01-19,0
10,"10 Chaikin,Leo",1,28,9,4,0,2,0,1,17,3,6,0.45454545454545453,NA,0.7777777777777778,Middlebury,2026-01-19,0
33,"33 Johnston,Liam",1,31,4,1,2,1,1,1,9,0,4,0.2857142857142857,0.2,1,Middlebury,2026-01-19,0
54,"54 Porter,Kareem",1,19,8,4,1,2,0,1,4,3,5,NA,NA,0.8,Middlebury,2026-01-19,0
34,"34 Wainaina,Denis",1,26,9,3,3,0,2,0,2,1,8,0.16666666666666666,NA,NA,Middlebury,2026-01-19,0
01,"01 Blakey,Ryan",0,20,0,3,1,0,0,2,13,0,0,0.5714285714285714,0.3333333333333333,1,Middlebury,2026-01-19,0
02,"02 Wright,Allyn",0,12,0,3,0,1,0,0,3,0,0,0.25,0,0.5,Middlebury,2026-01-19,0
04,"04 Williams,Joshua",0,6,1,0,0,0,0,0,2,0,1,0.5,0,NA,Middlebury,2026-01-19,0
05,"05 Ogutuga,Isaac",0,23,3,1,0,0,0,0,1,0,3,0,0,0.5,Middlebury,2026-01-19,0
TM,TM TEAM,0,0,2,0,0,0,0,0,0,1,1,NA,NA,NA,Middlebury,2026-01-19,0
,Totals,NA,200,46,20,7,7,3,5,89,11,35,0.4444444444444444,0.21428571428571427,0.8108108108108109,Middlebury,2026-01-19,0
11,"11 Murray, Ian",1,33,7,2,3,4,1,0,21,1,6,0.4666666666666667,0.3333333333333333,0.8571428571428571,St.,2026-01-19,1
12,"12 Witherington, Edward",1,27,10,5,1,0,0,0,16,2,8,0.5454545454545454,0.5,0.6666666666666666,St.,2026-01-19,1
21,"21 McKersie, Jackson",1,14,6,1,0,1,0,0,10,2,4,0.8,NA,0.6666666666666666,St.,2026-01-19,1
15,"15 Fuerbacher, Justin",1,23,4,4,5,0,1,0,8,2,2,0.4,0.5,0.5,St.,2026-01-19,1
02,"02 Flaks, Evan",1,17,2,2,3,0,0,0,1,0,2,0,0,0.5,St.,2026-01-19,1
20,"20 Ducree, Dominick",0,24,2,3,3,2,0,1,17,1,1,0.35714285714285715,0.4166666666666667,1,St.,2026-01-19,1
01,"01 Cwalina, Kuba",0,21,3,1,1,0,0,0,10,2,1,0.25,0.375,0.5,St.,2026-01-19,1
04,"04 Ramey, Sawyer",0,23,2,4,3,1,0,2,2,1,1,0.3333333333333333,0,0,St.,2026-01-19,1
13,"13 Newell, Mark",0,11,2,3,0,1,0,0,1,0,2,NA,NA,0.5,St.,2026-01-19,1
31,"31 Morrison, Henry",0,6,0,1,0,0,0,1,1,0,0,NA,NA,0.5,St.,2026-01-19,1
23,"23 Lee, Donovan",0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,St.,2026-01-19,1
TM,TM TEAM,0,0,4,0,0,1,0,0,0,1,3,NA,NA,NA,St.,2026-01-19,1
,Totals,NA,200,42,26,19,10,2,4,87,12,30,0.4117647058823529,0.38235294117647056,0.6428571428571429,St.,2026-01-19,1
11,"11 Murray, Ian",1,18,2,2,1,2,0,0,11,0,2,0.4,0,0.7,Middlebury,2026-01-17,0
12,"12 Witherington, Edward",1,29,6,2,0,2,0,0,10,1,5,0.3076923076923077,0.3333333333333333,NA,Middlebury,2026-01-17,0
15,"15 Fuerbacher, Justin",1,25,1,4,3,1,1,1,5,0,1,0.4,0.5,0,Middlebury,2026-01-17,0
21,"21 McKersie, Jackson",1,22,5,3,3,0,0,1,3,1,4,0.2,NA,0.5,Middlebury,2026-01-17,0
02,"02 Flaks, Evan",1,15,1,1,1,2,0,0,3,0,1,0.3333333333333333,0.5,NA,Middlebury,2026-01-17,0
20,"20 Ducree, Dominick",0,29,4,2,1,4,0,0,20,0,4,0.5,0.6666666666666666,1,Middlebury,2026-01-17,0
01,"01 Cwalina, Kuba",0,20,0,1,0,0,0,0,5,0,0,0.3333333333333333,0,0.5,Middlebury,2026-01-17,0
04,"04 Ramey, Sawyer",0,21,5,1,4,3,0,2,4,1,4,1,NA,NA,Middlebury,2026-01-17,0
13,"13 Newell, Mark",0,13,5,5,2,0,0,0,1,2,3,0,NA,0.3333333333333333,Middlebury,2026-01-17,0
31,"31 Morrison, Henry",0,5,2,1,0,0,0,1,0,0,2,NA,NA,NA,Middlebury,2026-01-17,0
23,"23 Lee, Donovan",0,3,0,1,0,0,0,0,0,0,0,NA,NA,NA,Middlebury,2026-01-17,0
TM,TM TEAM,0,0,4,0,0,0,0,0,0,1,3,NA,NA,NA,Middlebury,2026-01-17,0
,Totals,NA,200,35,23,15,14,1,5,62,6,29,0.3888888888888889,0.38095238095238093,0.6,Middlebury,2026-01-17,0
20,"20 Gyimesi,Scott",1,36,10,3,2,4,0,2,18,4,6,0.5384615384615384,0.5,1,Tufts,2026-01-17,1
25,"25 Bernstein,Joshua",1,28,10,3,4,1,1,1,11,3,7,0.6666666666666666,NA,0.875,Tufts,2026-01-17,1
11,"11 Medley,Jon",1,24,3,2,4,0,1,0,11,1,2,0.5,0.3333333333333333,NA,Tufts,2026-01-17,1
03,"03 Reilly,Dylan",1,26,4,0,1,1,2,2,9,0,4,0.3333333333333333,0.375,NA,Tufts,2026-01-17,1
12,"12 Watt,Zion",1,21,2,3,1,1,1,1,5,1,1,0.14285714285714285,0.16666666666666666,1,Tufts,2026-01-17,1
15,"15 Nieves,Ricardo",0,16,2,0,0,0,0,3,9,0,2,0.6,0.5,0.25,Tufts,2026-01-17,1
01,"01 Wooten,Sidney",0,20,3,0,1,0,1,2,8,0,3,0.4,0.5,0.75,Tufts,2026-01-17,1
02,"02 Morakis,James",0,13,3,1,1,1,0,0,4,0,3,0.16666666666666666,0,0.5,Tufts,2026-01-17,1
22,"22 Reeves,Evan",0,7,1,2,1,1,0,0,0,0,1,NA,NA,0,Tufts,2026-01-17,1
24,"24 Nyamwaya,Robbie",0,7,0,2,0,1,0,0,0,0,0,0,NA,0,Tufts,2026-01-17,1
14,"14 Linstra,Griffin",0,2,0,0,0,0,0,0,0,0,0,NA,NA,NA,Tufts,2026-01-17,1
